HUC_12,waterid,Year,observed_load_kg_yr,predicted_load_kg_yr,observed_yield_kg_km2_yr,predicted_yield_kg_km2_yr,demiarea,demtarea
70200060704,7020006070415,2015,361166.70616047975,659532.0,5074.006193829859,9265.719668916641,71.17979213341701,1619.4307231637365
70101060806,7010106080616,2016,231836.62581672132,94716.53,9096.150915602211,3716.219764875582,25.487332825477043,2365.5681484474185
70200060704,7020006070416,2016,3036054.92440782,1169755.5,42653.326645252644,16433.814499028736,71.17979213341701,1619.4307231637365
70101060806,7010106080617,2017,235343.1510476692,109734.33,9233.730051675751,4305.445797384887,25.487332825477043,2365.5681484474185
70200060704,7020006070417,2017,3801539.084447422,1238625.2,53407.560917316885,17401.360173662244,71.17979213341701,1619.4307231637365
70101060806,7010106080618,2018,216025.76835293605,117813.6,8475.80913358645,4622.437381216836,25.487332825477043,2365.5681484474185
70200060704,7020006070418,2018,4218934.651525421,2618854.8,59271.522507646434,36792.11081554308,71.17979213341701,1619.4307231637365
70101060806,7010106080619,2019,296200.9630914138,213685.72,11621.497044026999,8383.996923616916,25.487332825477043,2365.5681484474185
70200060704,7020006070419,2019,4553495.513810677,3167355.0,63971.74503229454,44497.952369167026,71.17979213341701,1619.4307231637365
70101060806,7010106080620,2020,334318.7509830405,107753.26,13117.055176870319,4227.718166425411,25.487332825477043,2365.5681484474185
70200060704,7020006070420,2020,1171179.992094418,1084547.0,16453.827090407874,15236.726147881433,71.17979213341701,1619.4307231637365
70101040404,7010104040401,2001,528927.0178781175,137106.73,14596.366964195682,3783.6224596151274,36.23689505584196,15390.5183422665
70101040404,7010104040402,2002,194583.77270213503,122721.51,5369.769468445808,3386.645290963342,36.23689505584196,15390.5183422665
70101040404,7010104040403,2003,77472.0050794627,84711.15,2137.931656674127,2337.70442719935,36.23689505584196,15390.5183422665
70101040404,7010104040404,2004,145633.6607123316,139227.6,4018.933202966382,3842.1503769968917,36.23689505584196,15390.5183422665
70101040404,7010104040405,2005,267349.98212450766,143622.9,7377.839125358689,3963.443881675665,36.23689505584196,15390.5183422665
70101040404,7010104040406,2006,202035.0129366898,82207.03,5575.395260144358,2268.600272548653,36.23689505584196,15390.5183422665
70101040404,7010104040407,2007,168415.3020621913,116198.484,4647.619554673741,3206.634669469755,36.23689505584196,15390.5183422665
70101040404,7010104040408,2008,356342.0107808639,151176.66,9833.679464858451,4171.898827618453,36.23689505584196,15390.5183422665
70101040404,7010104040409,2009,465115.23239392135,129679.484,12835.405232075407,3578.6588172126962,36.23689505584196,15390.5183422665
70101040404,7010104040410,2010,330564.1222122852,127853.82,9122.308125541043,3528.277458732987,36.23689505584196,15390.5183422665
70101040404,7010104040411,2011,262378.91219726583,125932.695,7240.656568200266,3475.261740994491,36.23689505584196,15390.5183422665
70101040404,7010104040412,2012,233283.02382442792,95830.1,6437.721097928863,2644.545010060145,36.23689505584196,15390.5183422665
70101040404,7010104040413,2013,320286.00212799886,130951.72,8838.671239200547,3613.767675133317,36.23689505584196,15390.5183422665
70101040404,7010104040414,2014,355633.91155438684,180275.86,9814.138628774515,4974.925686160207,36.23689505584196,15390.5183422665
70101040404,7010104040415,2015,176131.95142163397,99729.21,4860.569625245492,2752.1455645224237,36.23689505584196,15390.5183422665
70101040404,7010104040416,2016,322421.5640789809,115798.97,8897.604598355383,3195.6096078748164,36.23689505584196,15390.5183422665
70101040404,7010104040417,2017,421941.5679712873,119231.74,11643.97687277193,3290.340958193601,36.23689505584196,15390.5183422665
70101040404,7010104040418,2018,238487.04108099072,136428.42,6581.332112298149,3764.9036924869088,36.23689505584196,15390.5183422665
70101040404,7010104040419,2019,364648.9854765312,187162.02,10062.920261644878,5164.957420098456,36.23689505584196,15390.5183422665
70101040404,7010104040420,2020,302359.4272597447,110149.305,8343.966192296588,3039.7004166680713,36.23689505584196,15390.5183422665
70200070403,7020007040301,2001,10332505.00831504,8179530.0,351369.5705274994,278155.0012222522,29.40637401469682,23323.267670198795
