site_no,watershed_label,watershed_area_miles2,watershed_area_km2,SPARROW_static_inc_load_2001_2005_kg_yr,dPL_inc_load_2016_2020_kg_yr,SPARROW_static_inc_yield_2001_2005_kg_km2_yr,dPL_inc_yield_2016_2020_kg_km2_yr,WRTDS_inc_load_2001_2005_kg_yr,WRTDS_inc_load_2016_2020_kg_yr,mean_discharge_2001_2005_m3_s,mean_discharge_2016_2020_m3_s,residual_yield_2001_2005_kg_ha_yr,residual_yield_2016_2020_kg_ha_yr
USGS-05555300,S2_3,672.0,1740.47328,5179017.865348136,7453806.788659758,29.75637675602889,42.82632129037775,3802949.459860489,5018404.595722112,24.144245857741833,38.59468884098654,-7.906288601498367,-13.992758296971077
USGS-05556500,S2_4,196.0,507.63803999999993,788439.0580767564,1557046.2896191436,15.531520413181735,30.672372181153797,1324760.756293925,1518957.1399903768,3.212522698536166,6.570276614902217,10.565041544506172,-0.7503210285180129
USGS-05568000,S2_5,1073.0,2779.0592699999997,5542190.667299666,8128261.631909931,19.942686099313264,29.24824856977567,6226587.447188921,6252583.333316547,20.237353487561883,30.39220037437341,2.462692276042227,-6.74932815878153
USGS-05568800,S2_6_1_1,62.7,162.392373,403420.96260886255,624955.5069285745,24.842358982515922,38.48428934089008,347769.93941468064,502270.635713394,1.118673472171797,1.882838915273392,-3.4269480866679563,-7.5548419515478455
USGS-05569500,S2_6_1,1009.3,2614.0769069999997,4448037.073910781,8225939.189650573,17.01570853558205,31.46785455172752,4535531.103367218,5043935.588347028,18.584812078195075,29.762672892617708,0.33470334871229035,-12.172570718109883
USGS-05570000,S2_6,564.0,1460.75436,1760217.2308625206,-688304.7774688667,12.050056320643266,-4.711981674104788,2372652.790605005,1671378.2971692644,30.944151796079588,42.563596948184504,4.192597855689332,16.153866380642746
USGS-05570910,S2_7_2_1_1,240.0,621.5975999999999,1499253.92786287,1861289.1581089802,24.11936480872626,29.943634887087406,2862204.2929039197,2481254.486294453,5.640457100841009,7.783850025790864,21.92657058265749,9.973740699537336
USGS-05572000,S2_7_2_1,310.0,802.8969,2433920.7174473763,1802345.199113916,30.31423732545706,22.448027873988753,738442.6937368265,668756.550860147,13.581640598426109,15.139308881751413,-21.117007970893273,-14.118732408280177
USGS-05576500,S2_7_2,2068.0,5356.099319999999,3189099.3752117073,4996955.195817152,5.954145329798903,9.329467019325461,8028638.138454838,8230647.784642823,62.26324817448206,70.48463651003627,9.03556576176995,6.037402213119662
USGS-05577500,S2_7_1,107.0,277.12892999999997,230975.3182998842,331171.4628985976,8.334579803699464,11.950086297327301,542968.552457412,679546.3855401344,1.793158265701325,3.023118886597524,11.25805357663409,12.570860885636764
USGS-05579500,S2_7_3_1,214.0,554.2578599999999,694788.1063830154,873263.5090727964,12.535466910347749,15.755545786446701,1738102.5175145692,1170627.8236603434,5.606464602609895,5.431096986510871,18.823628610906013,5.365089718124106
